Temperature,Pressure,Si_pfu_[Bt],xTi_[Bt],Mg#_[Bt],x_ab_[Pl],x_tts_[Amp],Na_M4_[Amp],Ed_[Amp],Ts_[Amp],Al_pfu_[Cpx],Mg#_[Cpx],Ca_[Cpx],xjd_tot_[Cpx]
737.8787879,2808.080808,2.903911262,0.173484492,0.589932548,0.411359794,0.049173603,0.022554124,0.4573867,0.951224953,0.015303056,0.636273252,0.916759314,0.015303056
739.8989899,2808.080808,2.903749796,0.173977996,0.590099043,0.408533636,0.04977088,0.02230737,0.46126132,0.956256159,0.015350172,0.636596875,0.917182165,0.015350172
741.9191919,2808.080808,2.903605351,0.174486862,0.590337285,0.405647428,0.050373827,0.022054112,0.465133193,0.961380264,0.01539878,0.636850129,0.917614481,0.01539878
743.9393939,2808.080808,2.903435696,0.174992439,0.590579461,0.402652211,0.050978557,0.021806806,0.469014936,0.966419681,0.015440192,0.637058135,0.918029227,0.015440192
745.959596,2808.080808,2.903272482,0.175491886,0.590771529,0.399588244,0.05158044,0.021551819,0.472809795,0.971332227,0.015485645,0.637365784,0.918479569,0.015485645
747.979798,2808.080808,2.903091945,0.175998021,0.591004808,0.39643062,0.052185823,0.021290483,0.476580195,0.976286667,0.015526894,0.637653404,0.918923582,0.015526894
750,2808.080808,2.902880243,0.176482249,0.591231504,0.393226103,0.052793156,0.021035613,0.480366914,0.981179431,0.015568384,0.637928968,0.919399301,0.015568384
550,2888.888889,2.892286803,0.081365764,0.537017967,0.559740482,0.02009063,0.041522556,0.44169175,1.151775727,0,0,0,0
552.020202,2888.888889,2.89225843,0.082223042,0.536934329,0.559169009,0.020330966,0.041418013,0.441640812,1.148877848,0,0,0,0
554.040404,2888.888889,2.892232701,0.083085504,0.536844355,0.558593608,0.020571639,0.041318509,0.441595569,1.145972293,0,0,0,0
556.0606061,2888.888889,2.892207845,0.083946956,0.536758974,0.558027484,0.020813089,0.041216086,0.441557414,1.143095287,0,0,0,0
558.0808081,2888.888889,2.892188097,0.084821963,0.536671914,0.557458582,0.021054262,0.041116454,0.441520316,1.140206198,0,0,0,0
560.1010101,2888.888889,2.89218142,0.085691404,0.536593708,0.556900423,0.021296823,0.041011132,0.441505437,1.137392192,0,0,0,0
562.1212121,2888.888889,2.892169244,0.086569109,0.536515925,0.556340344,0.021538877,0.040916342,0.441476696,1.134540194,0,0,0,0
564.1414141,2888.888889,2.892162338,0.087442215,0.536430712,0.555791039,0.021782703,0.040807002,0.441473568,1.131750812,0,0,0,0
566.1616162,2888.888889,2.892162651,0.088325952,0.536349385,0.555241566,0.022026134,0.040702241,0.4414734,1.128965402,0,0,0,0
568.1818182,2888.888889,2.892151492,0.089203556,0.536270922,0.554696764,0.02226989,0.040599084,0.441473428,1.126168237,0,0,0,0
570.2020202,2888.888889,2.892152467,0.090090342,0.53619485,0.554156159,0.022515217,0.040495737,0.441483727,1.123412258,0,0,0,0
572.2222222,2888.888889,2.892158859,0.090979454,0.536118445,0.553621845,0.022760155,0.040389752,0.441505609,1.120687585,0,0,0,0
574.2424242,2888.888889,2.892168858,0.09186984,0.536041895,0.553085647,0.023005808,0.04028835,0.441537055,1.117968695,0,0,0,0
576.2626263,2888.888889,2.892174294,0.092763878,0.535969141,0.552563632,0.023251447,0.040178958,0.441568828,1.115273952,0,0,0,0
578.2828283,2888.888889,2.892186353,0.093662227,0.535895383,0.552038959,0.023497083,0.04007385,0.441612093,1.112587081,0,0,0,0
580.3030303,2888.888889,2.892202875,0.094558158,0.535818443,0.551519523,0.023744736,0.039968789,0.441666026,1.109940935,0,0,0,0
582.3232323,2888.888889,2.892220709,0.095459464,0.53574855,0.551004129,0.023991396,0.039861875,0.441729139,1.107301302,0,0,0,0
584.3434343,2888.888889,2.892246578,0.096362971,0.535688365,0.55049395,0.024240412,0.039756514,0.441801878,1.104703019,0,0,0,0
586.3636364,2888.888889,2.892270032,0.097271046,0.535614384,0.549982556,0.024488479,0.039653436,0.4418798,1.102094901,0,0,0,0
588.3838384,2888.888889,2.892294102,0.098181188,0.535543937,0.549479364,0.024736908,0.03954722,0.441966639,1.099514883,0,0,0,0
590.4040404,2888.888889,2.892326403,0.099090126,0.535478192,0.5489815,0.024986363,0.039440263,0.442068402,1.096978809,0,0,0,0
